customer_id,customer_name,country,region,industry,customer_segment,total_revenue,gross_margin,order_count,last_order_date,gross_margin_pct,avg_order_value,customer_status,revenue_rank,margin_rank,customer_value_band
CUST0028,Vertex 028 GmbH,Switzerland,DACH,Manufacturing,SMB,620319.21,330724.6,35,2025-12-13,0.53,17723.41,Active,70,71,Stable Accounts
CUST0045,Apex 045 GmbH,Switzerland,DACH,Technology,SMB,610972.34,339941.57,37,2025-12-03,0.56,16512.77,Active,71,68,Stable Accounts
CUST0073,Urban 073 GmbH,Ireland,Western Europe,Technology,SMB,590867.14,320803.97,38,2025-12-25,0.54,15549.14,Active,72,72,Stable Accounts
CUST0013,Urban 013 GmbH,Netherlands,Northern Europe,Healthcare,SMB,589119.1,308250.71,25,2025-12-12,0.52,23564.76,Active,73,74,Stable Accounts
CUST0083,Prime 083 GmbH,Spain,Southern Europe,Professional Services,Mid-Market,574057.55,317454.92,30,2025-12-21,0.55,19135.25,Active,74,73,Stable Accounts
CUST0008,Nexa 008 GmbH,Belgium,Western Europe,Logistics,Mid-Market,569699.78,307796.95,30,2025-11-15,0.54,18989.99,Active,75,75,Stable Accounts
CUST0080,Helio 080 GmbH,Netherlands,Northern Europe,Healthcare,SMB,550802.8,292220.18,30,2025-11-06,0.53,18360.09,Active,76,77,Stable Accounts
CUST0071,Nexa 071 GmbH,Ireland,Western Europe,Healthcare,SMB,546632.43,293284.11,32,2025-12-13,0.54,17082.26,Active,77,76,Stable Accounts
CUST0075,Vertex 075 GmbH,Italy,Southern Europe,Retail,Mid-Market,507534.31,276822.6,29,2025-11-16,0.55,17501.18,Active,78,81,Stable Accounts
CUST0024,Prime 024 GmbH,Belgium,Western Europe,Retail,SMB,506619.86,280120.38,31,2025-11-26,0.55,16342.58,Active,79,78,Stable Accounts
CUST0070,Helio 070 GmbH,Netherlands,Northern Europe,Manufacturing,SMB,501580.64,278900.1,31,2025-12-27,0.56,16180.02,Active,80,80,Stable Accounts
CUST0037,Urban 037 GmbH,Sweden,Northern Europe,Healthcare,SMB,500201.7,279500.02,30,2025-12-16,0.56,16673.39,Active,81,79,Stable Accounts
CUST0021,Vertex 021 GmbH,Italy,Southern Europe,Professional Services,Mid-Market,477852.9,262141.87,32,2025-12-12,0.55,14932.9,Active,82,82,Stable Accounts
CUST0054,Vertex 054 GmbH,Sweden,Northern Europe,Retail,Mid-Market,466943.16,246821.51,26,2025-12-23,0.53,17959.35,Active,83,88,Stable Accounts
CUST0014,Nexa 014 GmbH,France,Western Europe,Professional Services,SMB,462405.21,251185.23,25,2025-12-22,0.54,18496.21,Active,84,86,Stable Accounts
CUST0009,Helio 009 GmbH,Germany,DACH,Healthcare,Mid-Market,461158.92,257507.0,26,2025-12-21,0.56,17736.88,Active,85,84,Stable Accounts
CUST0047,Vertex 047 GmbH,Netherlands,Northern Europe,Logistics,Mid-Market,460634.61,248916.31,26,2025-12-14,0.54,17716.72,Active,86,87,Stable Accounts
CUST0034,Vertex 034 GmbH,Switzerland,DACH,Technology,Mid-Market,457608.38,258047.61,36,2025-10-09,0.56,12711.34,Active,87,83,Stable Accounts
CUST0059,Apex 059 GmbH,Ireland,Western Europe,Healthcare,Mid-Market,443401.09,251976.45,30,2025-12-11,0.57,14780.04,Active,88,85,Stable Accounts
CUST0006,Vertex 006 GmbH,Denmark,Northern Europe,Professional Services,SMB,442406.53,243208.69,32,2025-12-01,0.55,13825.2,Active,89,89,Stable Accounts
CUST0020,Prime 020 GmbH,Italy,Southern Europe,Healthcare,Mid-Market,405997.07,222877.25,30,2025-12-06,0.55,13533.24,Active,90,90,Stable Accounts
